Address,Building Name,AKA,Accessible Entry?,Accessible Restroom?,Public Elevator?,Comment,What you can find? (List of strings),Floor Plans (String or pdf)  x
534 College Street,Adirondack House,CCI,yes,no,no,1st floor access only. Coltrane Lounge not accessible,"[""CCI"", ""Coltrane"", ""Bike Shop""]",http://www.middlebury.edu/media/view/287370/original/adirondack-coltrane_lounge
23 Adirondack View,Event Management,,no,no,no,,,
75 Adirondack View,Pottery (75 Adirondack View),,no,no,no,,,
455 South Main Street,Athletic Alumni Stadium,,yes,yes,no,press box accessible on first floor,,
219 South Main Street,Peterson Family Athletics Complex,,,,,,,http://www.middlebury.edu/media/view/82041/original/Peterson_Family_Athletic_Complex.pdf
219 South Main Street,Athletics - Kenyon Arena,Kenyon,yes,yes,yes,press box and ice surface not accessbile,,http://www.middlebury.edu/media/view/81101/original/Chip_Kenyon_85_Arena.pdf
219 South Main Street,Athletics - Kenyon Lounge,,,,,,,http://www.middlebury.edu/media/view/81261/original/Kenyon_Lounge.pdf
219 South Main Street,Athletics - Memorial Field House,,yes,no,no,1983/84,,http://www.middlebury.edu/media/view/81981/original/Pepin_Gym_1st_floor.pdf
219 South Main Street,Athletics - Natatorium,,yes,yes,no,,,
219 South Main Street,Athletics - Nelson Arena,Nelson,yes,no,no,,,http://www.middlebury.edu/media/view/81941/original/Nelson_Arena1.pdf
219 South Main Street,Athletics - Squash Courts,,yes,yes,no,,,
219 South Main Street,Athletics - Virtue Field House,,yes,yes,yes,,,
219 South Main Street,Athletics - Fitness Center,,yes,no,no,,,
99 Shannon Street,Atwater Commons Dining Hall,Atwater Dining,yes,yes,yes,,,
275 Weybridge Street,"Atwater Commons House, Nichols House",,no,no,no,,,
15 Old Chapel Road,Axinn Center At Starr Library,Axinn,yes,yes,yes,,,http://www.middlebury.edu/media/view/80091/original/Axinn_1st_floor.pdf
15 Old Chapel Road,Axinn Center At Starr Library (first floor),Axinn,yes,yes,yes,,,http://www.middlebury.edu/media/view/81141/original/Axinn_2nd_floor.pdf
161 Adirondack View,Bowker Office Building,,yes,yes,no,entry level only,,
132 Blinn Lane,Brainerd Commons House,,yes,yes,no,"lift to first floor is inside the garage, no signage",,
452 College Street,Carr Hall,AFC,yes,yes,yes,access through ground floor level,,http://www.middlebury.edu/media/view/261848/original/carr_1st_floor.pdf
136 South Main Street,Centeno House,Porter Medical Center,yes,yes,yes,access by parking lot entry,,
135 South Main Street,Charles P. Scott Spiritual And Religious Life,Scott Center,yes,yes,no,first floor only,,
56 Hillcrest Road,Chellis House,,yes,yes,no,first floor only,,
204 College Street,"204 College Street, NE Review Offices",,no,no,no,,,
46 South Street,Cook Commons House,,yes,no,no,,,
110 Storrs Avenue,Davis Library,Davis,yes,yes,yes,,"[""CTLR"", ""Media Lab""]",http://www.middlebury.edu/media/view/81321/original/Library_1st_floor.pdf
110 Storrs Avenue,Davis Library (second floor),,yes,yes,yes,,,http://www.middlebury.edu/media/view/81481/original/Library_2nd_floor.pdf
110 Storrs Avenue,Davis Library (third floor),,yes,yes,yes,,,http://www.middlebury.edu/media/view/81501/original/Library_3rd_floor.pdf
131 South Main Street,Emma Willard House,Admissions,yes,yes,no,first floor only,,
24 Hillcrest Road,Farrell House,,no,no,no,,,
75 Franklin Street,"75 Franklin Street, Bread Loaf School of Eng",,no,no,no,,,
203 Freeman Way,Freeman International Center,FIC,yes,no,yes,"most places not accessible, seminar rooms are","[""UPS""]",http://www.middlebury.edu/media/view/81121/original/FIC_Hamlin-Bunker_2nd_floor.pdf
399 Golf Course Road,Hadley Barn,,no,no,no,,,http://www.middlebury.edu/media/view/76501/original/Hadley_Barn.pdf
399 Golf Course Road,Hadley House,,yes,no,no,,,
