,Address,Building Name,AKA,Accessible Entry?,Accessible Restroom?,Public Elevator?,Comment,Floor Plans (String or pdf)  x,latitude,longitude
0,534 College Street,Adirondack House,CCI,yes,no,no,1st floor access only. Coltrane Lounge not accessible,http://www.middlebury.edu/media/view/287370/original/adirondack-coltrane_lounge,44.01024355,-73.1797632
1,23 Adirondack View,Event Management,,no,no,no,,,44.00825589,-73.18106856
2,75 Adirondack View,Pottery (75 Adirondack View),,no,no,no,,,44.00873544,-73.18107696
3,455 South Main Street,Athletic Alumni Stadium,,yes,yes,no,press box accessible on first floor,,44.0105193,-73.1712035
4,219 South Main Street,Peterson Family Athletics Complex,,,,,,http://www.middlebury.edu/media/view/82041/original/Peterson_Family_Athletic_Complex.pdf,44.0045596,-73.1773789
5,219 South Main Street,Athletics - Kenyon Arena,Kenyon,yes,yes,yes,press box and ice surface not accessbile,http://www.middlebury.edu/media/view/81101/original/Chip_Kenyon_85_Arena.pdf,44.0045596,-73.1773789
6,219 South Main Street,Athletics - Kenyon Lounge,,,,,,http://www.middlebury.edu/media/view/81261/original/Kenyon_Lounge.pdf,44.0045596,-73.1773789
7,219 South Main Street,Athletics - Memorial Field House,,yes,no,no,1983/84,http://www.middlebury.edu/media/view/81981/original/Pepin_Gym_1st_floor.pdf,44.0045596,-73.1773789
8,219 South Main Street,Athletics - Natatorium,,yes,yes,no,,,44.0045596,-73.1773789
9,219 South Main Street,Athletics - Nelson Arena,Nelson,yes,no,no,,http://www.middlebury.edu/media/view/81941/original/Nelson_Arena1.pdf,44.0045596,-73.1773789
10,219 South Main Street,Athletics - Squash Courts,,yes,yes,no,,,44.0045596,-73.1773789
11,219 South Main Street,Athletics - Virtue Field House,,yes,yes,yes,,,44.0045596,-73.1773789
12,219 South Main Street,Athletics - Fitness Center,,yes,no,no,,,44.0045596,-73.1773789
13,99 Shannon Street,Atwater Commons Dining Hall,Atwater Dining,yes,yes,yes,,,44.01290858,-73.17534273
14,275 Weybridge Street,Atwater Commons House (Nichols House),,no,no,no,,,,
15,15 Old Chapel Road,Axinn Center At Starr Library,Axinn,yes,yes,yes,,http://www.middlebury.edu/media/view/80091/original/Axinn_1st_floor.pdf,44.0074851,-73.17509337
16,15 Old Chapel Road,Axinn Center At Starr Library (first floor),Axinn,yes,yes,yes,,http://www.middlebury.edu/media/view/81141/original/Axinn_2nd_floor.pdf,44.0074851,-73.17509337
17,161 Adirondack View,Bowker Office Building,,yes,yes,no,entry level only,,44.00952856,-73.18109086
18,132 Blinn Lane,Brainerd Commons House,,yes,yes,no,lift to first floor is inside the garage; no signage,,44.0106489,-73.18203014
19,452 College Street,Carr Hall,AFC,yes,yes,yes,access through ground floor level,http://www.middlebury.edu/media/view/261848/original/carr_1st_floor.pdf,44.01043493,-73.17767997
20,136 South Main Street,Centeno House,Porter Medical Center,yes,yes,yes,access by parking lot entry,,44.00737567,-73.17481372
21,135 South Main Street,Charles P. Scott Spiritual And Religious Life,Scott Center,yes,yes,no,first floor only,,44.0073187,-73.17465501
