Building name,AKA,Address,,, Middlebury VT
Adirondack House,CCI,Adirondack House Middlebury VT,,,
Twilight Hall,,Twilight Hall Middlebury VT,,,
Carr Hall,AFC,Carr Hall Middlebury VT,,,
Chellis House,,Chellis House Middlebury VT,,,
Davis Library,,Davis Library Middlebury VT,,,
Emma Willard House,Admissions,Emma Willard House Middlebury VT,,,
Forest Hall,,Forest Hall Middlebury VT,,,
Franklin Environmental Center at Hillcrest,Hillcrest,Franklin Environmental Center at Hillcrest Middlebury VT,,,
Freeman International Center,FIC,Freeman International Center Middlebury VT,,,
Gifford Hall,,Gifford Hall Middlebury VT,,,
Johnson Memorial Building,,Johnson Memorial Building Middlebury VT,,,
Le Chateau,,Le Chateau Middlebury VT,,,
McCardell Bicentennial Hall,BiHall,McCardell Bicentennial Hall Middlebury VT,,,
McCullough Student Center,,McCullough Student Center Middlebury VT,,,
Mead Memorial Chapel,,Mead Memorial Chapel Middlebury VT,,,
Munroe Hall,,Munroe Hall Middlebury VT,,,
Old Chapel,,Old Chapel Middlebury VT,,,
Proctor Hall,,Proctor Hall Middlebury VT,,,
Middlebury College Public Safety,PubSafe,Middlebury College Public Safety Middlebury VT,,,
Robert A. Jones House,RAJ,Robert A. Jones House Middlebury VT,,,
Service Building,,Service Building Middlebury VT,,,
Sunderland Language Center,,Sunderland Language Center Middlebury VT,,,
The Axinn Center at Starr Library,Axinn,The Axinn Center at Starr Library Middlebury VT,,,
Voter Hall,,Voter Hall Middlebury VT,,,
Warner Hall,,Warner Hall Middlebury VT,,,
Wright Memorial Theatre,,Wright Memorial Theatre Middlebury VT,,,
Ross Dining Hall,,Ross Dining Hall Middlebury VT,,,
Atwater Commons Dining Hall,,Atwater Commons Dining Hall Middlebury VT,,,
Allen Hall,,Allen Hall Middlebury VT,,,
Atwater Residence Halls,,Atwater Residence Halls Middlebury VT,,,
Battell Hall,,Battell Hall Middlebury VT,,,
Coffrin Hall,,Coffrin Hall Middlebury VT,,,
Hadley Hall,,Hadley Hall Middlebury VT,,,
Hepburn Hall,,Hepburn Hall Middlebury VT,,,
Kelly Hall,,Kelly Hall Middlebury VT,,,
Lang Hall,,Lang Hall Middlebury VT,,,
LaForce Hall,,LaForce Hall Middlebury VT,,,
Meeker House,,Meeker House Middlebury VT,,,
Milliken Hall,,Milliken Hall Middlebury VT,,,
Munford House,,Munford House Middlebury VT,,,
Painter Hall,,Painter Hall Middlebury VT,,,
Pearsons Hall,,Pearsons Hall Middlebury VT,,,
Starr Hall,,Starr Hall Middlebury VT,,,
Stewart Hall,,Stewart Hall Middlebury VT,,,
